"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2018/03/21","21","25.0","37.8","51.8","31.1","78.9","40.7","39.0","40.4","NA","NA","0.00","10.30","0.05","0.07"
"2018/03/22","22","34.0","43.6","54.7","40.6","89.5","43.0","40.9","41.8","NA","NA","0.28","5.21","0.04","0.05"
"2018/03/23","23","29.0","37.9","48.1","28.2","70.3","41.3","40.0","41.3","NA","NA","0.00","10.10","0.06","0.09"
"2018/03/24","24","28.7","34.9","42.9","31.6","88.6","39.9","39.4","40.2","NA","NA","0.30","7.69","0.04","0.05"
"2018/03/25","25","27.5","33.8","44.0","29.1","85.0","39.3","38.1","39.2","NA","NA","0.02","10.23","0.05","0.06"
"2018/03/26","26","23.7","35.3","43.4","28.4","77.9","38.2","37.7","38.7","NA","NA","0.01","7.99","0.04","0.05"
"2018/03/27","27","32.2","43.1","58.6","35.4","75.4","40.3","38.5","39.5","NA","NA","0.00","7.41","0.07","0.11"
"2018/03/28","28","27.2","40.6","57.8","27.1","65.5","41.3","38.6","40.2","NA","NA","0.00","16.32","0.09","0.12"
"2018/03/29","29","25.3","41.1","56.2","27.2","62.9","41.9","38.7","40.4","NA","NA","0.00","16.81","0.09","0.12"
"2018/03/30","30","38.7","49.3","62.9","30.9","54.4","45.4","41.2","42.7","NA","NA","0.00","17.40","0.13","0.18"
"2018/03/31","31","28.9","42.8","53.0","17.5","40.7","45.0","41.8","43.3","NA","NA","0.00","18.40","0.11","0.16"
"2018/04/01","1","26.3","38.2","53.4","27.1","67.4","42.8","40.7","42.1","NA","NA","0.03","13.01","0.08","0.12"
"2018/04/02","2","30.7","37.6","48.1","22.7","57.7","42.7","40.3","41.7","NA","NA","0.00","14.79","0.08","0.11"
"2018/04/03","3","27.2","36.6","45.7","24.5","63.8","41.3","40.1","41.3","NA","NA","0.00","9.97","0.06","0.08"
"2018/04/04","4","30.5","40.8","51.8","29.9","68.3","42.9","40.0","41.5","NA","NA","0.06","12.70","0.07","0.10"
"2018/04/05","5","39.2","41.7","44.8","39.7","92.6","44.4","42.3","43.1","NA","NA","0.22","6.93","0.04","0.04"
"2018/04/06","6","34.5","42.9","48.7","37.1","81.1","45.4","43.1","44.1","NA","NA","0.07","9.20","0.05","0.06"
"2018/04/07","7","34.2","40.3","46.5","38.0","91.5","43.6","43.1","43.8","NA","NA","0.45","3.56","0.02","0.03"
"2018/04/08","8","39.1","46.5","56.6","39.6","78.9","45.6","42.8","44.1","NA","NA","0.01","10.79","0.07","0.09"
"2018/04/09","9","36.3","45.5","56.0","37.3","74.9","46.9","43.9","45.5","NA","NA","0.00","13.76","0.08","0.11"
"2018/04/10","10","34.9","43.2","51.9","39.7","87.8","45.4","44.0","45.1","NA","NA","0.02","5.94","0.04","0.05"
"2018/04/11","11","37.0","46.7","57.4","36.5","71.6","47.5","44.1","45.6","NA","NA","0.05","16.27","0.10","0.13"
"2018/04/12","12","32.4","42.3","51.8","35.7","79.3","46.6","45.2","46.1","NA","NA","0.72","9.63","0.06","0.08"
"2018/04/13","13","29.2","38.8","45.6","34.7","85.9","43.8","43.0","44.2","NA","NA","0.06","7.86","0.04","0.05"
"2018/04/14","14","40.2","46.4","51.6","41.8","84.5","46.2","43.8","45.0","NA","NA","0.04","10.36","0.06","0.07"
"2018/04/15","15","41.4","47.7","55.1","42.1","82.1","47.6","45.0","46.3","NA","NA","0.38","10.19","0.07","0.08"
